,usage_kwh,timestamp
436,11.265625,2022-01-05T13:00:00
437,5.734375,2022-01-05T13:15:00
438,11.109375,2022-01-05T13:30:00
439,5.53125,2022-01-05T13:45:00
440,10.921875,2022-01-05T14:00:00
441,5.78125,2022-01-05T14:15:00
442,11.78125,2022-01-05T14:30:00
443,6.15625,2022-01-05T14:45:00
444,11.21875,2022-01-05T15:00:00
445,6.0625,2022-01-05T15:15:00
446,11.71875,2022-01-05T15:30:00
447,6.25,2022-01-05T15:45:00
448,13.65625,2022-01-05T16:00:00
449,7.03125,2022-01-05T16:15:00
450,14.1875,2022-01-05T16:30:00
451,7.21875,2022-01-05T16:45:00
452,14.03125,2022-01-05T17:00:00
453,6.828125,2022-01-05T17:15:00
454,13.078125,2022-01-05T17:30:00
455,7.0,2022-01-05T17:45:00
456,12.984375,2022-01-05T18:00:00
457,6.75,2022-01-05T18:15:00
458,13.0625,2022-01-05T18:30:00
459,6.703125,2022-01-05T18:45:00
460,8.6875,2022-01-05T19:00:00
461,3.546875,2022-01-05T19:15:00
462,6.015625,2022-01-05T19:30:00
463,3.078125,2022-01-05T19:45:00
464,6.296875,2022-01-05T20:00:00
465,3.203125,2022-01-05T20:15:00
466,6.0,2022-01-05T20:30:00
467,3.34375,2022-01-05T20:45:00
468,6.140625,2022-01-05T21:00:00
469,3.171875,2022-01-05T21:15:00
470,6.203125,2022-01-05T21:30:00
471,3.328125,2022-01-05T21:45:00
472,6.046875,2022-01-05T22:00:00
473,3.359375,2022-01-05T22:15:00
474,6.125,2022-01-05T22:30:00
475,3.1875,2022-01-05T22:45:00
476,6.203125,2022-01-05T23:00:00
477,3.3125,2022-01-05T23:15:00
478,6.140625,2022-01-05T23:30:00
479,3.390625,2022-01-05T23:45:00
480,6.15625,2022-01-06T00:00:00
481,3.1875,2022-01-06T00:15:00
482,6.265625,2022-01-06T00:30:00
483,3.546875,2022-01-06T00:45:00
484,6.140625,2022-01-06T01:00:00
485,3.203125,2022-01-06T01:15:00
486,6.265625,2022-01-06T01:30:00
